dataset_name,latest_version
TS027,https://api.beta.ons.gov.uk/v1/datasets/TS027/editions/2021/versions/4
TS026,https://api.beta.ons.gov.uk/v1/datasets/TS026/editions/2021/versions/3
TS025,https://api.beta.ons.gov.uk/v1/datasets/TS025/editions/2021/versions/3
TS024,https://api.beta.ons.gov.uk/v1/datasets/TS024/editions/2021/versions/3
TS023,https://api.beta.ons.gov.uk/v1/datasets/TS023/editions/2021/versions/3
TS022,https://api.beta.ons.gov.uk/v1/datasets/TS022/editions/2021/versions/2
TS021,https://api.beta.ons.gov.uk/v1/datasets/TS021/editions/2021/versions/3
TS020,https://api.beta.ons.gov.uk/v1/datasets/TS020/editions/2021/versions/3
TS019,https://api.beta.ons.gov.uk/v1/datasets/TS019/editions/2021/versions/3
TS018,https://api.beta.ons.gov.uk/v1/datasets/TS018/editions/2021/versions/3
TS017,https://api.beta.ons.gov.uk/v1/datasets/TS017/editions/2021/versions/3
TS016,https://api.beta.ons.gov.uk/v1/datasets/TS016/editions/2021/versions/3
TS015,https://api.beta.ons.gov.uk/v1/datasets/TS015/editions/2021/versions/3
TS013,https://api.beta.ons.gov.uk/v1/datasets/TS013/editions/2021/versions/3
TS012,https://api.beta.ons.gov.uk/v1/datasets/TS012/editions/2021/versions/2
TS011,https://api.beta.ons.gov.uk/v1/datasets/TS011/editions/2021/versions/6
TS010,https://api.beta.ons.gov.uk/v1/datasets/TS010/editions/2021/versions/5
TS009,https://api.beta.ons.gov.uk/v1/datasets/TS009/editions/2021/versions/2
TS008,https://api.beta.ons.gov.uk/v1/datasets/TS008/editions/2021/versions/4
TS007,https://api.beta.ons.gov.uk/v1/datasets/TS007/editions/2021/versions/3
TS006,https://api.beta.ons.gov.uk/v1/datasets/TS006/editions/2021/versions/4
TS005,https://api.beta.ons.gov.uk/v1/datasets/TS005/editions/2021/versions/3
TS004,https://api.beta.ons.gov.uk/v1/datasets/TS004/editions/2021/versions/3
TS003,https://api.beta.ons.gov.uk/v1/datasets/TS003/editions/2021/versions/4
TS002,https://api.beta.ons.gov.uk/v1/datasets/TS002/editions/2021/versions/3
TS001,https://api.beta.ons.gov.uk/v1/datasets/TS001/editions/2021/versions/3
ST013,https://api.beta.ons.gov.uk/v1/datasets/ST013/editions/2021/versions/1
ST012,https://api.beta.ons.gov.uk/v1/datasets/ST012/editions/2021/versions/2
ST011,https://api.beta.ons.gov.uk/v1/datasets/ST011/editions/2021/versions/3
ST010,https://api.beta.ons.gov.uk/v1/datasets/ST010/editions/2021/versions/2
ST009,https://api.beta.ons.gov.uk/v1/datasets/ST009/editions/2021/versions/3
ST008,https://api.beta.ons.gov.uk/v1/datasets/ST008/editions/2021/versions/1
ST007,https://api.beta.ons.gov.uk/v1/datasets/ST007/editions/2021/versions/1
ST006,https://api.beta.ons.gov.uk/v1/datasets/ST006/editions/2021/versions/1
ST005,https://api.beta.ons.gov.uk/v1/datasets/ST005/editions/2021/versions/1
ST004,https://api.beta.ons.gov.uk/v1/datasets/ST004/editions/2021/versions/1
ST003,https://api.beta.ons.gov.uk/v1/datasets/ST003/editions/2021/versions/1
ST002,https://api.beta.ons.gov.uk/v1/datasets/ST002/editions/2021/versions/1
ST001,https://api.beta.ons.gov.uk/v1/datasets/ST001/editions/2021/versions/1
RM205,https://api.beta.ons.gov.uk/v1/datasets/RM205/editions/2021/versions/2
RM204,https://api.beta.ons.gov.uk/v1/datasets/RM204/editions/2021/versions/1
RM203,https://api.beta.ons.gov.uk/v1/datasets/RM203/editions/2021/versions/1
RM202,https://api.beta.ons.gov.uk/v1/datasets/RM202/editions/2021/versions/1
RM201,https://api.beta.ons.gov.uk/v1/datasets/RM201/editions/2021/versions/1
RM200,https://api.beta.ons.gov.uk/v1/datasets/RM200/editions/2021/versions/1
RM198,https://api.beta.ons.gov.uk/v1/datasets/RM198/editions/2021/versions/2
RM197,https://api.beta.ons.gov.uk/v1/datasets/RM197/editions/2021/versions/2
RM196,https://api.beta.ons.gov.uk/v1/datasets/RM196/editions/2021/versions/1
RM195,https://api.beta.ons.gov.uk/v1/datasets/RM195/editions/2021/versions/2
RM194,https://api.beta.ons.gov.uk/v1/datasets/RM194/editions/2021/versions/2
RM193,https://api.beta.ons.gov.uk/v1/datasets/RM193/editions/2021/versions/2
RM192,https://api.beta.ons.gov.uk/v1/datasets/RM192/editions/2021/versions/2
RM191,https://api.beta.ons.gov.uk/v1/datasets/RM191/editions/2021/versions/3
RM190,https://api.beta.ons.gov.uk/v1/datasets/RM190/editions/2021/versions/4
RM189,https://api.beta.ons.gov.uk/v1/datasets/RM189/editions/2021/versions/4
RM188,https://api.beta.ons.gov.uk/v1/datasets/RM188/editions/2021/versions/4
RM187,https://api.beta.ons.gov.uk/v1/datasets/RM187/editions/2021/versions/4
RM186,https://api.beta.ons.gov.uk/v1/datasets/RM186/editions/2021/versions/4
RM185,https://api.beta.ons.gov.uk/v1/datasets/RM185/editions/2021/versions/4
RM184,https://api.beta.ons.gov.uk/v1/datasets/RM184/editions/2021/versions/7
RM183,https://api.beta.ons.gov.uk/v1/datasets/RM183/editions/2021/versions/4
RM182,https://api.beta.ons.gov.uk/v1/datasets/RM182/editions/2021/versions/4
RM181,https://api.beta.ons.gov.uk/v1/datasets/RM181/editions/2021/versions/4
RM180,https://api.beta.ons.gov.uk/v1/datasets/RM180/editions/2021/versions/4
RM179,https://api.beta.ons.gov.uk/v1/datasets/RM179/editions/2021/versions/4
RM178,https://api.beta.ons.gov.uk/v1/datasets/RM178/editions/2021/versions/4
RM177,https://api.beta.ons.gov.uk/v1/datasets/RM177/editions/2021/versions/4
RM176,https://api.beta.ons.gov.uk/v1/datasets/RM176/editions/2021/versions/3
RM175,https://api.beta.ons.gov.uk/v1/datasets/RM175/editions/2021/versions/5
RM174,https://api.beta.ons.gov.uk/v1/datasets/RM174/editions/2021/versions/3
RM173,https://api.beta.ons.gov.uk/v1/datasets/RM173/editions/2021/versions/3
RM172,https://api.beta.ons.gov.uk/v1/datasets/RM172/editions/2021/versions/3
RM171,https://api.beta.ons.gov.uk/v1/datasets/RM171/editions/2021/versions/3
RM170,https://api.beta.ons.gov.uk/v1/datasets/RM170/editions/2021/versions/5
RM169,https://api.beta.ons.gov.uk/v1/datasets/RM169/editions/2021/versions/6
RM168,https://api.beta.ons.gov.uk/v1/datasets/RM168/editions/2021/versions/5
RM167,https://api.beta.ons.gov.uk/v1/datasets/RM167/editions/2021/versions/3
RM166,https://api.beta.ons.gov.uk/v1/datasets/RM166/editions/2021/versions/5
RM165,https://api.beta.ons.gov.uk/v1/datasets/RM165/editions/2021/versions/3
RM164,https://api.beta.ons.gov.uk/v1/datasets/RM164/editions/2021/versions/3
RM163,https://api.beta.ons.gov.uk/v1/datasets/RM163/editions/2021/versions/3
RM162,https://api.beta.ons.gov.uk/v1/datasets/RM162/editions/2021/versions/1
RM161,https://api.beta.ons.gov.uk/v1/datasets/RM161/editions/2021/versions/1
RM160,https://api.beta.ons.gov.uk/v1/datasets/RM160/editions/2021/versions/1
RM158,https://api.beta.ons.gov.uk/v1/datasets/RM158/editions/2021/versions/1
RM157,https://api.beta.ons.gov.uk/v1/datasets/RM157/editions/2021/versions/1
RM156,https://api.beta.ons.gov.uk/v1/datasets/RM156/editions/2021/versions/1
RM155,https://api.beta.ons.gov.uk/v1/datasets/RM155/editions/2021/versions/1
RM154,https://api.beta.ons.gov.uk/v1/datasets/RM154/editions/2021/versions/3
RM153,https://api.beta.ons.gov.uk/v1/datasets/RM153/editions/2021/versions/1
RM152,https://api.beta.ons.gov.uk/v1/datasets/RM152/editions/2021/versions/3
RM151,https://api.beta.ons.gov.uk/v1/datasets/RM151/editions/2021/versions/3
RM150,https://api.beta.ons.gov.uk/v1/datasets/RM150/editions/2021/versions/1
